vw,alpha,betaH,Tn,f_p,Om_p,at,bt,rbt,s0t,omega_0t,K
0.1048695142959951,0.8244520402362058,1,100,2.6640124985071746e-06,4.14925951284439e-05,4.004123445729432,6.397799744587107,3.513549816306028,7.779069149720229e-07,2.136342965533929e-06,8.042526897118783
0.0613884359028659,0.0030816388488613,1,100,2.6640124985071746e-06,3.195244355665537e-12,4.0036006690668655,5.218221149729129,4.608763131579449,5.141467208526845e-07,2.008371133509477e-14,0.0007710001203277341
0.7353975717864228,0.0142836617172937,1,100,6.754242700207695e-06,4.300882501059717e-13,1.9330058027131385,8.63860290514249,6.748626476154002,2.2095626552570937e-06,1.1469264531745854e-13,0.0006180275826050884
0.529712857842324,0.1290118574693445,1,100,5.35262183124638e-06,8.792163549720985e-10,3.9880806983432953,8.991646980340775,8.328927539868667,2.5807917082507746e-06,3.3525255919539277e-10,0.034150043509115845
0.4072783334491937,0.404446099209745,1,100,3.776168886348003e-06,5.2229214158075545e-08,4.000952709944452,8.15484509798646,2.8686296837657608,2.006795196782327e-06,3.040283623965075e-08,0.1560053398472993
0.3947234274696971,0.0074838618969683,1,100,4.764984700857969e-06,4.434627753502991e-14,3.996975085764695,9.610502586440608,6.323370076639877,2.905570520878215e-06,2.944758111677716e-14,0.0001680510565956434
0.7262706274705021,0.0135357206363767,1,100,6.754242700207695e-06,3.687187559154595e-13,1.7623705649496886,8.397630171329146,5.810359803580031,2.154078016340487e-06,1.0511166531396597e-13,0.0005926766563661574
0.8766328577465284,0.0036487709930337,1,100,3.776168886348003e-06,1.2899578632432089e-15,0.0611244425645391,9.052157365766291,5.252072837615805,1.1970802770814971e-06,4.987377965508512e-16,1.9835985693485227e-05
0.2126753355081307,0.0197103542312295,1,100,2.6640124985071746e-06,6.428728737067779e-12,4.003846261435137,8.65114825001322,3.4097063033272765,1.4521372520649008e-06,4.629351151079314e-12,0.0013961195144667356
0.6159627299779312,0.0063828165555999,1,100,3.865025999107082e-05,1.4518338175586945e-14,3.997763543725004,8.852876345136181,76.40496128233804,1.7271092948757372e-06,5.267534411166139e-15,0.00040193021286965164
0.6275736905069812,0.1031492272035029,1,100,2.371544113985212e-06,3.088448505327652e-10,4.003711423035682,9.053173146271444,20.752695100607397,1.1050730973085876e-06,7.919155490112952e-11,0.017769688556433946
0.6635974412828937,0.0930448916053508,1,100,2.371544113985212e-06,1.56006439505933e-10,4.003537106936933,9.771690705480497,37.07425353137345,1.5583097550867778e-06,1.3003564708526376e-10,0.011600432508723385
0.3227650516122284,0.0619172625356208,1,100,4.241861262618583e-06,1.4235218351070018e-10,4.002210928725401,7.707286875718748,5.34836906348824,1.4265320187102038e-06,2.08239837741089e-11,0.008109533609306087
0.93729628274693,0.2016321601873117,1,100,3.3616025078151862e-06,1.6675972579900755e-09,3.842258858313828,7.053827111684521,1.7660695266497222,2.382464572519584e-06,8.109029837892506e-10,0.024313437894749892
0.49842171507774,0.007128057723213,1,100,1.357084734059135e-05,4.9110388477404355e-14,3.94216983442253,8.401609164370745,3.835621755432108,4.909367673102804e-06,3.5764066875346904e-14,0.00029140565567955287
0.3156106749884065,0.0408176852382635,1,100,4.241861262618583e-06,3.0988875039330226e-11,4.0023860625116034,9.303694029866556,7.105328546332621,1.6924748749262972e-06,1.2148130485676776e-11,0.0038653879400390363
0.5176862178966184,0.0055691891170688,1,100,1.923632547431222e-05,2.3717760431673956e-14,3.8911808608692953,9.14936788587557,7.026024940498226,5.233394235906392e-06,1.4445955781945117e-14,0.00022928890886545093
0.5891463157098489,0.0298277119701499,1,100,2.6640124985071746e-06,5.757396983220542e-12,4.002816011894968,9.019831524224818,33.04824638283082,1.21819203860712e-06,2.041210064983869e-12,0.003505342244951326
0.7404400865424265,0.6051842398913566,1,100,2.1111843460680256e-06,4.0920352970168395e-08,4.006110310584463,10.223405863795495,11.12559140387099,1.1468217916901651e-06,2.6450486872939984e-08,0.09086295489585326
0.476743012725021,0.8365411908992013,1,100,3.3616025078151862e-06,2.6831917661293897e-07,4.0017534465974585,8.744471615810077,2.6462697642477,1.8528611822912128e-06,2.187109702788656e-07,0.32446118143911507
0.3299128032324705,0.0223960460044164,1,100,4.241861262618583e-06,3.0694652406462844e-12,4.001872586710704,9.74721506672715,7.488089717898084,2.207201375154575e-06,2.8032239860402485e-12,0.00119185355962651
0.6736714565397547,0.0547010222374253,1,100,2.6640124985071746e-06,2.0832923567612608e-11,4.001282519401022,9.45335788903011,59.10616608777927,1.393807991207928e-06,8.434846295901779e-12,0.0056649255599853605
0.6760886578344447,0.0963207856030311,1,100,2.371544113985212e-06,1.5540260904043626e-10,4.0033524746256335,9.763844811268587,50.01866402593829,1.3556735129665743e-06,1.3631347758555508e-10,0.01230872580706271
0.8678304833096352,0.0164374477708719,1,100,3.776168886348003e-06,4.596481842073243e-13,0.95478902504472,8.247799777404945,5.121229559973881,1.379280487887756e-06,8.437630893113796e-14,0.0004019842095361959
0.4490197743938929,0.0187400474342096,1,100,6.012728742481926e-06,1.5930678572413828e-12,3.986103460207586,9.088571703845917,4.615260889344284,3.5531759586580327e-06,1.143715018363163e-12,0.0012403728122010191
0.5904784886609422,0.0015079553966893,1,100,0.0001389018324655,1.6868384940978951e-16,4.000672621354049,8.616519738882953,210.9134990484311,1.2661905295972689e-06,1.8133127623033285e-17,4.7317684579705655e-05
0.9588332718297248,0.1215884158858175,1,100,2.992549263726948e-06,3.9347779118125134e-10,3.538273335670432,6.145739114095879,1.6380895021245696,2.305739592716768e-06,1.3652427834745836e-10,0.01058539333632627
